t	de	da	dr	rpm
0.0000000000000000e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.3959466025299498e+03
1.0000000000000000e-02	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2182453185946342e+03
2.0000000000000000e-02	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2181839531675596e+03
2.9999999999999999e-02	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2181226187255047e+03
4.0000000000000001e-02	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2180613154118842e+03
5.0000000000000003e-02	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2180000433628425e+03
6.0000000000000005e-02	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2179388027079112e+03
7.0000000000000007e-02	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2178775935706735e+03
8.0000000000000002e-02	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2178164160694082e+03
8.9999999999999997e-02	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2177552703177353e+03
9.9999999999999992e-02	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2176941564252384e+03
1.0999999999999999e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2176330744980651e+03
1.1999999999999998e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2175720246395135e+03
1.2999999999999998e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2175110069505827e+03
1.3999999999999999e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2174500215305025e+03
1.4999999999999999e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2173890684772255e+03
1.6000000000000000e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2173281478878994e+03
1.7000000000000001e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2172672598592912e+03
1.8000000000000002e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2172064265215681e+03
1.9000000000000003e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2171456039091277e+03
2.0000000000000004e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2170848141492474e+03
2.1000000000000005e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2170240573408259e+03
2.2000000000000006e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2169633335840340e+03
2.3000000000000007e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2169026429805454e+03
2.4000000000000007e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2168419856337296e+03
2.5000000000000006e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2167813616488211e+03
2.6000000000000006e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2167207711330516e+03
2.7000000000000007e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2166602141957587e+03
2.8000000000000008e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2165996909484679e+03
2.9000000000000009e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2165392015049429e+03
3.0000000000000010e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2164787459890299e+03
3.1000000000000011e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2164183245112322e+03
3.2000000000000012e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2163579371921323e+03
3.3000000000000013e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2162975841545503e+03
3.4000000000000014e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2162372655234958e+03
3.5000000000000014e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2161769814261097e+03
3.6000000000000015e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2161167319915812e+03
3.7000000000000016e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2160565173510658e+03
3.8000000000000017e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2159963376375881e+03
3.9000000000000018e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2159361929859338e+03
4.0000000000000019e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2158760835325388e+03
4.1000000000000020e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2158160094153714e+03
4.2000000000000021e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2157559707738096e+03
4.3000000000000022e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2156959677485183e+03
4.4000000000000022e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2156360004813218e+03
4.5000000000000023e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2155760691150781e+03
4.6000000000000024e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2155161737935537e+03
4.7000000000000025e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2154563146613000e+03
4.8000000000000026e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2153964918635302e+03
4.9000000000000027e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2153367055460021e+03
5.0000000000000022e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2152769558549057e+03
5.1000000000000023e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2152172429367515e+03
5.2000000000000024e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2151575669382651e+03
5.3000000000000025e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2150979280062902e+03
5.4000000000000026e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2150383262876949e+03
5.5000000000000027e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2149787619292833e+03
5.6000000000000028e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2149192350777153e+03
5.7000000000000028e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2148597458794329e+03
5.8000000000000029e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2148002944805894e+03
5.9000000000000030e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2147408810269917e+03
6.0000000000000031e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2146815056640412e+03
6.1000000000000032e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2146221685366891e+03
6.2000000000000033e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2145628697893894e+03
6.3000000000000034e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2145036095660662e+03
6.4000000000000035e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2144443880100821e+03
6.5000000000000036e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2143852052642119e+03
6.6000000000000036e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2143260614706237e+03
6.7000000000000037e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2142669567708658e+03
6.8000000000000038e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2142078913058535e+03
6.9000000000000039e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2141488652158687e+03
7.0000000000000040e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2140898786405542e+03
7.1000000000000041e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2140309317189176e+03
7.2000000000000042e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2139720245893395e+03
7.3000000000000043e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2139131573895802e+03
7.4000000000000044e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2138543302567919e+03
7.5000000000000044e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2137955433275351e+03
7.6000000000000045e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2137367967377936e+03
7.7000000000000046e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2136780906229933e+03
7.8000000000000047e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2136194251180214e+03
7.9000000000000048e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2135608003572511e+03
8.0000000000000049e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2135022164745596e+03
8.1000000000000050e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2134436736033535e+03
8.2000000000000051e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2133851718765914e+03
8.3000000000000052e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2133267114268083e+03
8.4000000000000052e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2132682923861389e+03
8.5000000000000053e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2132099148863404e+03
8.6000000000000054e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2131515790588178e+03
8.7000000000000055e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2130932850346439e+03
8.8000000000000056e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2130350329445855e+03
8.9000000000000057e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2129768229191195e+03
9.0000000000000058e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2129186550884565e+03
9.1000000000000059e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2128605295825614e+03
9.2000000000000060e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2128024465311687e+03
9.3000000000000060e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2127444060638018e+03
9.4000000000000061e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2126864083097880e+03
9.5000000000000062e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2126284533982762e+03
9.6000000000000063e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2125705414582467e+03
9.7000000000000064e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2125126726185263e+03
9.8000000000000065e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2124548470077989e+03
9.9000000000000066e-01	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2123970647546148e+03
1.0000000000000007e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2123393259874024e+03
1.0100000000000007e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2122816308344718e+03
1.0200000000000007e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2122239794240231e+03
1.0300000000000007e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2121663718841542e+03
1.0400000000000007e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2121088083428604e+03
1.0500000000000007e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2120512889280417e+03
1.0600000000000007e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2119938137675044e+03
1.0700000000000007e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2119363829889603e+03
1.0800000000000007e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2118790036378318e+03
1.0900000000000007e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2118216620012849e+03
1.1000000000000008e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2117643651293133e+03
1.1100000000000008e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2117071131492567e+03
1.1200000000000008e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2116499061883578e+03
1.1300000000000008e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2115927443737605e+03
1.1400000000000008e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2115356278325062e+03
1.1500000000000008e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2114785566915298e+03
1.1600000000000008e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2114215310776572e+03
1.1700000000000008e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2113645511175987e+03
1.1800000000000008e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2113076169379483e+03
1.1900000000000008e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2112507286651758e+03
1.2000000000000008e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2111938864256235e+03
1.2100000000000009e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2111370903455027e+03
1.2200000000000009e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2110803405508868e+03
1.2300000000000009e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2110236371677070e+03
1.2400000000000009e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2109669803217480e+03
1.2500000000000009e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2109103701386443e+03
1.2600000000000009e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2108538067438735e+03
1.2700000000000009e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2107972902627534e+03
1.2800000000000009e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2107408208204370e+03
1.2900000000000009e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2106843985419082e+03
1.3000000000000009e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2106280235519780e+03
1.3100000000000009e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2105716959752826e+03
1.3200000000000010e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2105154159362769e+03
1.3300000000000010e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2104591835592310e+03
1.3400000000000010e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2104029989682313e+03
1.3500000000000010e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2103468622871728e+03
1.3600000000000010e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2102907736397597e+03
1.3700000000000010e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2102347331495002e+03
1.3800000000000010e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2101787409397089e+03
1.3900000000000010e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2101227971334997e+03
1.4000000000000010e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2100669018537865e+03
1.4100000000000010e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2100110552232813e+03
1.4200000000000010e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2099552573644955e+03
1.4300000000000010e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2098995083997333e+03
1.4400000000000011e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2098438084510958e+03
1.4500000000000011e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2097881576404793e+03
1.4600000000000011e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2097325560895720e+03
1.4700000000000011e+00	-4.8821354850536902e-02	0.0000000000000000e+00	0.0000000000000000e+00	2.2096770039198564e+03
