t	u	v	w	p	q	r	phi	psi	theta	h
0.0000000000000000e+00	7.4994102142148989e+01	0.0000000000000000e+00	9.4055509829283079e-01	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2541063380779496e-02	3.0000000000000000e+03
1.0000000000000000e-02	7.4989958346956300e+01	0.0000000000000000e+00	9.4055509731812525e-01	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2541063380779496e-02	3.0000000000000000e+03
2.0000000000000000e-02	7.4985816320369793e+01	0.0000000000000000e+00	9.4056347327932988e-01	0.0000000000000000e+00	-4.2722727853079941e-07	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2541063380779496e-02	2.9999999994803475e+03
2.9999999999999999e-02	7.4981676081189050e+01	0.0000000000000000e+00	9.4057951154288444e-01	0.0000000000000000e+00	-1.3322309715641315e-06	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2541059108506711e-02	2.9999999983575012e+03
4.0000000000000001e-02	7.4977537647769481e+01	0.0000000000000000e+00	9.4060249430357046e-01	0.0000000000000000e+00	-2.7575363977724882e-06	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2541045786196995e-02	2.9999999965518650e+03
5.0000000000000003e-02	7.4973401037991266e+01	0.0000000000000000e+00	9.4063170662887896e-01	0.0000000000000000e+00	-4.7379603809468541e-06	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2541018210833017e-02	2.9999999939874397e+03
6.0000000000000005e-02	7.4969266269234552e+01	0.0000000000000000e+00	9.4066644198375149e-01	0.0000000000000000e+00	-7.3009628214266393e-06	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2540970831229207e-02	2.9999999905914779e+03
7.0000000000000007e-02	7.4965133358360632e+01	0.0000000000000000e+00	9.4070600723386288e-01	0.0000000000000000e+00	-1.0467028699541121e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2540897821600993e-02	2.9999999862941386e+03
8.0000000000000002e-02	7.4961002321698757e+01	0.0000000000000000e+00	9.4074972712997429e-01	0.0000000000000000e+00	-1.4250074927490276e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2540793151313998e-02	2.9999999810281479e+03
8.9999999999999997e-02	7.4956873175038226e+01	0.0000000000000000e+00	9.4079694827986371e-01	0.0000000000000000e+00	-1.8657876725330627e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2540650650564722e-02	2.9999999747284692e+03
9.9999999999999992e-02	7.4952745933625309e+01	0.0000000000000000e+00	9.4084704261794083e-01	0.0000000000000000e+00	-2.3692508477530612e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2540464071797468e-02	2.9999999673319794e+03
1.0999999999999999e-01	7.4948620612164746e+01	0.0000000000000000e+00	9.4089941038587266e-01	0.0000000000000000e+00	-2.9350794324984523e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2540227146712693e-02	2.9999999587771595e+03
1.1999999999999998e-01	7.4944497224825298e+01	0.0000000000000000e+00	9.4095348264039236e-01	0.0000000000000000e+00	-3.5624764059514249e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2539933638769443e-02	2.9999999490037962e+03
1.2999999999999998e-01	7.4940375785249117e+01	0.0000000000000000e+00	9.4100872330695073e-01	0.0000000000000000e+00	-4.2502110209949870e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2539577391128848e-02	2.9999999379526989e+03
1.3999999999999999e-01	7.4936256306564459e+01	0.0000000000000000e+00	9.4106463079999170e-01	0.0000000000000000e+00	-4.9966642537742660e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2539152370026748e-02	2.9999999255654316e+03
1.4999999999999999e-01	7.4932138801401351e+01	0.0000000000000000e+00	9.4112073923241868e-01	0.0000000000000000e+00	-5.7998736492199498e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2538652703601371e-02	2.9999999117840616e+03
1.6000000000000000e-01	7.4928023281909887e+01	0.0000000000000000e+00	9.4117661923827600e-01	0.0000000000000000e+00	-6.6575772508126511e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2538072716236449e-02	2.9999998965509244e+03
